ID,FIS1PW1,FIS2PW1,FIS3PW1,FIS4PW1,FIS5PW1,FIS6PW1,FIS1PW1_R,FIS2PW1_R,FIS4PW1_R,FIS3PW1_R,FIS5PW1_R,FIS6PW1_R,FISPW1_T,FISPW1_L
1042,Sometimes True,Sometimes True,Yes,Some months but not every month,Yes,Yes,=often or sometimes true OR almost every month or some months,=often or sometimes true OR almost every month or some months,=often or sometimes true OR almost every month or some months,=yes,=yes,=yes,6.0,3.0
1044,Never True,Sometimes True,Yes,Don't know,Yes,No,=never true OR only 1 or 2 months OR do not know,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=yes,=yes,=no,3.0,2.0
1045,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1048,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1049,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1050,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1051,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1053,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1054,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1055,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1056,Never True,Sometimes True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,1.0,1.0
1057,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1058,Sometimes True,Sometimes True,No,,Yes,No,=often or sometimes true OR almost every month or some months,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=no,=yes,=no,3.0,2.0
1059,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1061,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1064,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1066,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1067,Never True,Sometimes True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,1.0,1.0
1068,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1069,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1070,Never True,Never True,Yes,Only 1 or 2 months,Yes,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=yes,=yes,=no,2.0,2.0
1071,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1073,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1076,Never True,Sometimes True,No,,Yes,No,=never true OR only 1 or 2 months OR do not know,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=no,=yes,=no,2.0,2.0
1078,Never True,Often True,Yes,Some months but not every month,Yes,Yes,=never true OR only 1 or 2 months OR do not know,=often or sometimes true OR almost every month or some months,=often or sometimes true OR almost every month or some months,=yes,=yes,=yes,5.0,3.0
1083,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1085,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1086,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1087,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1089,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1090,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1091,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1092,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1096,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1100,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1105,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1108,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1110,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1115,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1117,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1118,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
